PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"23608059","Eye movements while reading an unspaced writing system: the case of Thai","Kasisopa B, G Reilly R, Luksaneeyanawin S, Burnham D.","Vision Res. 2013 Jun 28;86:71-80. doi: 10.1016/j.visres.2013.04.007. Epub 2013 Apr 19.","Kasisopa B","Vision Res","2013","2013/04/24","","","10.1016/j.visres.2013.04.007"
"30335444","Parafoveal previews and lexical frequency in natural reading: Evidence from eye movements and fixation-related potentials","Degno F, Loberg O, Zang C, Zhang M, Donnelly N, Liversedge SP.","J Exp Psychol Gen. 2019 Mar;148(3):453-474. doi: 10.1037/xge0000494. Epub 2018 Oct 18.","Degno F","J Exp Psychol Gen","2019","2018/10/19","PMC6388670","","10.1037/xge0000494"
"21169577","Eye movements, the perceptual span, and reading speed","Rayner K, Slattery TJ, Bélanger NN.","Psychon Bull Rev. 2010 Dec;17(6):834-9. doi: 10.3758/PBR.17.6.834.","Rayner K","Psychon Bull Rev","2010","2010/12/21","PMC3075059","NIHMS271725","10.3758/PBR.17.6.834"
"28523225","A meta-analysis of functional magnetic resonance imaging studies of eye movements and visual word reading","Zhou W, Shu H.","Brain Behav. 2017 Apr 4;7(5):e00683. doi: 10.1002/brb3.683. eCollection 2017 May.","Zhou W","Brain Behav","2017","2017/05/20","PMC5434188","","10.1002/brb3.683"
"30192750","Developmental Eye Movement test and dyslexic children: A pilot study with eye movement recordings","Moiroud L, Gerard CL, Peyre H, Bucci MP.","PLoS One. 2018 Sep 7;13(9):e0200907. doi: 10.1371/journal.pone.0200907. eCollection 2018.","Moiroud L","PLoS One","2018","2018/09/08","PMC6128452","","10.1371/journal.pone.0200907"
"26727255","The Relation between Reading Skills and Eye Movement Patterns in Adolescent Readers: Evidence from a Regular Orthography","Krieber M, Bartl-Pokorny KD, Pokorny FB, Einspieler C, Langmann A, Körner C, Falck-Ytter T, Marschik PB.","PLoS One. 2016 Jan 4;11(1):e0145934. doi: 10.1371/journal.pone.0145934. eCollection 2016.","Krieber M","PLoS One","2016","2016/01/05","PMC4699816","","10.1371/journal.pone.0145934"
"30247050","Orthographic and root frequency effects in Arabic: Evidence from eye movements and lexical decision","Hermena EW, Liversedge SP, Bouamama S, Drieghe D.","J Exp Psychol Learn Mem Cogn. 2019 May;45(5):934-954. doi: 10.1037/xlm0000626. Epub 2018 Sep 24.","Hermena EW","J Exp Psychol Learn Mem Cogn","2019","2018/09/25","","","10.1037/xlm0000626"
"29869026","Failure to detect function word repetitions and omissions in reading: Are eye movements to blame?","Staub A, Dodge S, Cohen AL.","Psychon Bull Rev. 2019 Feb;26(1):340-346. doi: 10.3758/s13423-018-1492-z.","Staub A","Psychon Bull Rev","2019","2018/06/06","","","10.3758/s13423-018-1492-z"
"21762395","Working distance and eye and head movements during near work in myopes and non-myopes","Hartwig A, Gowen E, Charman WN, Radhakrishnan H.","Clin Exp Optom. 2011 Nov;94(6):536-44. doi: 10.1111/j.1444-0938.2011.00623.x. Epub 2011 Jul 18.","Hartwig A","Clin Exp Optom","2011","2011/07/19","","","10.1111/j.1444-0938.2011.00623.x"
"25528014","Eye movements during reading and topic scanning: effects of word frequency","White SJ, Warrington KL, McGowan VA, Paterson KB.","J Exp Psychol Hum Percept Perform. 2015 Feb;41(1):233-48. doi: 10.1037/xhp0000020. Epub 2014 Dec 22.","White SJ","J Exp Psychol Hum Percept Perform","2015","2014/12/22","","","10.1037/xhp0000020"
"22590519","Reading speed, comprehension and eye movements while reading Japanese novels: evidence from untrained readers and cases of speed-reading trainees","Miyata H, Minagawa-Kawai Y, Watanabe S, Sasaki T, Ueda K.","PLoS One. 2012;7(5):e36091. doi: 10.1371/journal.pone.0036091. Epub 2012 May 9.","Miyata H","PLoS One","2012","2012/05/17","PMC3348914","","10.1371/journal.pone.0036091"
"25850330","Eye Movements Reveal the Influence of Event Structure on Reading Behavior","Swets B, Kurby CA.","Cogn Sci. 2016 Mar;40(2):466-80. doi: 10.1111/cogs.12240. Epub 2015 Apr 8.","Swets B","Cogn Sci","2016","2015/04/09","","","10.1111/cogs.12240"
"24284692","The effect of glare on eye movements when reading","Glimne S, Brautaset RL, Seimyr GÖ.","Work. 2015 Jan 1;50(2):213-20. doi: 10.3233/WOR-131799.","Glimne S","Work","2015","2013/11/29","","","10.3233/WOR-131799"
"28151950","Eye Movements during Silent and Oral Reading in a Regular Orthography: Basic Characteristics and Correlations with Childhood Cognitive Abilities and Adolescent Reading Skills","Krieber M, Bartl-Pokorny KD, Pokorny FB, Zhang D, Landerl K, Körner C, Pernkopf F, Pock T, Einspieler C, Marschik PB.","PLoS One. 2017 Feb 2;12(2):e0170986. doi: 10.1371/journal.pone.0170986. eCollection 2017.","Krieber M","PLoS One","2017","2017/02/03","PMC5289712","","10.1371/journal.pone.0170986"
"27307404","The Importance of Reading Naturally: Evidence From Combined Recordings of Eye Movements and Electric Brain Potentials","Metzner P, von der Malsburg T, Vasishth S, Rösler F.","Cogn Sci. 2017 May;41 Suppl 6:1232-1263. doi: 10.1111/cogs.12384. Epub 2016 Jun 16.","Metzner P","Cogn Sci","2017","2016/06/17","","","10.1111/cogs.12384"
"23289943","Eye movements in reading: some theoretical context","Radach R, Kennedy A.","Q J Exp Psychol (Hove). 2013;66(3):429-52. doi: 10.1080/17470218.2012.750676. Epub 2013 Jan 7.","Radach R","Q J Exp Psychol (Hove)","2013","2013/01/08","","","10.1080/17470218.2012.750676"
"24338580","Evaluation of eye movements pattern during reading process in patients with glaucoma: a microperimeter study","Cerulli A, Cesareo M, Ciuffoletti E, Montanaro ML, Mancino R, Mirisola C, Sorge R, Cedrone C, Nucci C, Cerulli L.","Eur J Ophthalmol. 2014 May-Jun;24(3):358-63. doi: 10.5301/ejo.5000397. Epub 2013 Nov 25.","Cerulli A","Eur J Ophthalmol","2014","2013/12/17","","","10.5301/ejo.5000397"
"27123680","Fast and slow readers and the effectiveness of the spatial frequency content of text: Evidence from reading times and eye movements","Jordan TR, Dixon J, McGowan VA, Kurtev S, Paterson KB.","J Exp Psychol Hum Percept Perform. 2016 Aug;42(8):1066-71. doi: 10.1037/xhp0000234. Epub 2016 Apr 28.","Jordan TR","J Exp Psychol Hum Percept Perform","2016","2016/04/29","","","10.1037/xhp0000234"
"20854008","Task effects on eye movements during reading","Kaakinen JK, Hyönä J.","J Exp Psychol Learn Mem Cogn. 2010 Nov;36(6):1561-6. doi: 10.1037/a0020693.","Kaakinen JK","J Exp Psychol Learn Mem Cogn","2010","2010/09/22","","","10.1037/a0020693"
"31394600","Eye tracker outcomes in a randomized trial of 40 sessions of hyperbaric oxygen or sham in participants with persistent post concussive symptoms","Wetzel PA, Lindblad AS, Mulatya C, Kannan MA, Villmar Z, Gitchel GT, Weaver LK.","Undersea Hyperb Med. 2019 BIMA Special Edition No. Feb;46(3):299-311.","Wetzel PA","Undersea Hyperb Med","2019","2019/08/09","","",""
"23681016","Eye movements of older and younger readers when reading unspaced text","Rayner K, Yang J, Schuett S, Slattery TJ.","Exp Psychol. 2013;60(5):354-61. doi: 10.1027/1618-3169/a000207.","Rayner K","Exp Psychol","2013","2013/05/18","","","10.1027/1618-3169/a000207"
"26048684","Word length and frequency effects on children's eye movements during silent reading","Tiffin-Richards SP, Schroeder S.","Vision Res. 2015 Aug;113(Pt A):33-43. doi: 10.1016/j.visres.2015.05.008. Epub 2015 Jun 3.","Tiffin-Richards SP","Vision Res","2015","2015/06/07","","","10.1016/j.visres.2015.05.008"
"25528098","Second-language experience modulates eye movements during first- and second-language sentence reading: evidence from a gaze-contingent moving window paradigm","Whitford V, Titone D.","J Exp Psychol Learn Mem Cogn. 2015 Jul;41(4):1118-29. doi: 10.1037/xlm0000093. Epub 2014 Dec 22.","Whitford V","J Exp Psychol Learn Mem Cogn","2015","2014/12/22","","","10.1037/xlm0000093"
"23702811","Oculomotor and cognitive control of eye movements in reading: evidence from mindless reading","Luke SG, Henderson JM.","Atten Percept Psychophys. 2013 Aug;75(6):1230-42. doi: 10.3758/s13414-013-0482-5.","Luke SG","Atten Percept Psychophys","2013","2013/05/25","","","10.3758/s13414-013-0482-5"
"21463086","Eye movements and word skipping during reading: effects of word length and predictability","Rayner K, Slattery TJ, Drieghe D, Liversedge SP.","J Exp Psychol Hum Percept Perform. 2011 Apr;37(2):514-28. doi: 10.1037/a0020990.","Rayner K","J Exp Psychol Hum Percept Perform","2011","2011/04/06","PMC3543826","NIHMS430116","10.1037/a0020990"
"26287379","Eye Movement Patterns in Natural Reading: A Comparison of Monolingual and Bilingual Reading of a Novel","Cop U, Drieghe D, Duyck W.","PLoS One. 2015 Aug 19;10(8):e0134008. doi: 10.1371/journal.pone.0134008. eCollection 2015.","Cop U","PLoS One","2015","2015/08/20","PMC4545791","","10.1371/journal.pone.0134008"
"25027163","Effects of visual span on reading speed and parafoveal processing in eye movements during sentence reading","Risse S.","J Vis. 2014 Jul 15;14(8):11. doi: 10.1167/14.8.11.","Risse S","J Vis","2014","2014/07/17","","","10.1167/14.8.11"
"29985033","The dynamic adjustment of saccades during Chinese reading: Evidence from eye movements and simulations","Liu Y, Yu L, Reichle ED.","J Exp Psychol Learn Mem Cogn. 2019 Mar;45(3):535-543. doi: 10.1037/xlm0000595. Epub 2018 Jul 9.","Liu Y","J Exp Psychol Learn Mem Cogn","2019","2018/07/10","PMC6326906","NIHMS948581","10.1037/xlm0000595"
"23457357","Eye movements while viewing narrated, captioned, and silent videos","Ross NM, Kowler E.","J Vis. 2013 Mar 1;13(4):1. doi: 10.1167/13.4.1.","Ross NM","J Vis","2013","2013/03/05","PMC4521331","","10.1167/13.4.1"
"20570391","[Ocular movements and reading: a review]","Quercia P.","J Fr Ophtalmol. 2010 Jun;33(6):416-23. doi: 10.1016/j.jfo.2010.04.001. Epub 2010 Jun 8.","Quercia P","J Fr Ophtalmol","2010","2010/06/24","","","10.1016/j.jfo.2010.04.001"
"23937235","The influence of contextual diversity on eye movements in reading","Plummer P, Perea M, Rayner K.","J Exp Psychol Learn Mem Cogn. 2014 Jan;40(1):275-83. doi: 10.1037/a0034058. Epub 2013 Aug 12.","Plummer P","J Exp Psychol Learn Mem Cogn","2014","2013/08/14","PMC4040263","NIHMS578353","10.1037/a0034058"
"22882151","Eye movement analysis of reading from computer displays, eReaders and printed books","Zambarbieri D, Carniglia E.","Ophthalmic Physiol Opt. 2012 Sep;32(5):390-6. doi: 10.1111/j.1475-1313.2012.00930.x.","Zambarbieri D","Ophthalmic Physiol Opt","2012","2012/08/14","","","10.1111/j.1475-1313.2012.00930.x"
"28590881","Effects of irrelevant background speech on eye movements during reading","Yan G, Meng Z, Liu N, He L, Paterson KB.","Q J Exp Psychol (Hove). 2018 Jun;71(6):1270-1275. doi: 10.1080/17470218.2017.1339718. Epub 2018 Jan 1.","Yan G","Q J Exp Psychol (Hove)","2018","2017/06/08","","","10.1080/17470218.2017.1339718"
"22545927","Eye movements of second language learners when reading spaced and unspaced Chinese text","Shen D, Liversedge SP, Tian J, Zang C, Cui L, Bai X, Yan G, Rayner K.","J Exp Psychol Appl. 2012 Jun;18(2):192-202. doi: 10.1037/a0027485. Epub 2012 Apr 30.","Shen D","J Exp Psychol Appl","2012","2012/05/02","","","10.1037/a0027485"
"27643527","Attention and eye-movement control in reading: The selective reading paradigm","Reingold EM, Sheridan H, Meadmore KL, Drieghe D, Liversedge SP.","J Exp Psychol Hum Percept Perform. 2016 Dec;42(12):2003-2020. doi: 10.1037/xhp0000291. Epub 2016 Sep 19.","Reingold EM","J Exp Psychol Hum Percept Perform","2016","2016/09/20","","","10.1037/xhp0000291"
"24101571","Aging and the use of interword spaces during reading: evidence from eye movements","McGowan VA, White SJ, Jordan TR, Paterson KB.","Psychon Bull Rev. 2014 Jun;21(3):740-7. doi: 10.3758/s13423-013-0527-8.","McGowan VA","Psychon Bull Rev","2014","2013/10/09","","","10.3758/s13423-013-0527-8"
"21217407","DEM test, visagraph eye movement recordings, and reading ability in children","Webber A, Wood J, Gole G, Brown B.","Optom Vis Sci. 2011 Feb;88(2):295-302. doi: 10.1097/OPX.0b013e31820846c0.","Webber A","Optom Vis Sci","2011","2011/01/11","","","10.1097/OPX.0b013e31820846c0"
"29957357","Reading strategies of good and poor readers of German with different spelling abilities","Gangl M, Moll K, Banfi C, Huber S, Schulte-Körne G, Landerl K.","J Exp Child Psychol. 2018 Oct;174:150-169. doi: 10.1016/j.jecp.2018.05.012. Epub 2018 Jun 26.","Gangl M","J Exp Child Psychol","2018","2018/06/30","","","10.1016/j.jecp.2018.05.012"
"29504784","The development of wrap-up processes in text reading: A study of children's eye movements","Tiffin-Richards SP, Schroeder S.","J Exp Psychol Learn Mem Cogn. 2018 Jul;44(7):1051-1063. doi: 10.1037/xlm0000506. Epub 2018 Mar 5.","Tiffin-Richards SP","J Exp Psychol Learn Mem Cogn","2018","2018/03/06","","","10.1037/xlm0000506"
"25414177","Simulated hyperopic anisometropia and reading, visual information processing, and reading-related eye movement performance in children","Narayanasamy S, Vincent SJ, Sampson GP, Wood JM.","Invest Ophthalmol Vis Sci. 2014 Nov 20;55(12):8015-23. doi: 10.1167/iovs.14-15347.","Narayanasamy S","Invest Ophthalmol Vis Sci","2014","2014/11/22","","","10.1167/iovs.14-15347"
"21688934","Eye movements and display change detection during reading","Slattery TJ, Angele B, Rayner K.","J Exp Psychol Hum Percept Perform. 2011 Dec;37(6):1924-38. doi: 10.1037/a0024322. Epub 2011 Jun 20.","Slattery TJ","J Exp Psychol Hum Percept Perform","2011","2011/06/22","","","10.1037/a0024322"
"23834023","Reading is fundamentally similar across disparate writing systems: a systematic characterization of how words and characters influence eye movements in Chinese reading","Li X, Bicknell K, Liu P, Wei W, Rayner K.","J Exp Psychol Gen. 2014 Apr;143(2):895-913. doi: 10.1037/a0033580. Epub 2013 Jul 8.","Li X","J Exp Psychol Gen","2014","2013/07/10","PMC3885613","NIHMS524572","10.1037/a0033580"
"29766396","A novel evaluation of two related and two independent algorithms for eye movement classification during reading","Friedman L, Rigas I, Abdulin E, Komogortsev OV.","Behav Res Methods. 2018 Aug;50(4):1374-1397. doi: 10.3758/s13428-018-1050-7.","Friedman L","Behav Res Methods","2018","2018/05/17","","","10.3758/s13428-018-1050-7"
"30388546","The time course of processing emotion-laden words during sentence reading: Evidence from eye movements","Knickerbocker F, Johnson RL, Starr EL, Hall AM, Preti DM, Slate SR, Altarriba J.","Acta Psychol (Amst). 2019 Jan;192:1-10. doi: 10.1016/j.actpsy.2018.10.008. Epub 2018 Oct 30.","Knickerbocker F","Acta Psychol (Amst)","2019","2018/11/03","","","10.1016/j.actpsy.2018.10.008"
"29764531","Syllables and inflectional morphemes in early Finnish readers: evidence from eye-movements","Häikiö T, Vainio S.","J Child Lang. 2018 Sep;45(5):1227-1245. doi: 10.1017/S0305000918000132. Epub 2018 May 16.","Häikiö T","J Child Lang","2018","2018/05/17","","","10.1017/S0305000918000132"
"26366620","Effects of word frequency and visual complexity on eye movements of young and older Chinese readers","Zang C, Zhang M, Bai X, Yan G, Paterson KB, Liversedge SP.","Q J Exp Psychol (Hove). 2016;69(7):1409-25. doi: 10.1080/17470218.2015.1083594. Epub 2015 Oct 27.","Zang C","Q J Exp Psychol (Hove)","2016","2015/09/15","","","10.1080/17470218.2015.1083594"
"20427040","Eye movements and processing difficulty in object relative clauses","Staub A.","Cognition. 2010 Jul;116(1):71-86. doi: 10.1016/j.cognition.2010.04.002. Epub 2010 Apr 27.","Staub A","Cognition","2010","2010/04/30","","","10.1016/j.cognition.2010.04.002"
"31410763","Establishing a role for the visual complexity of linguistic stimuli in age-related reading difficulty: Evidence from eye movements during Chinese reading","Li L, Li S, Xie F, Chang M, McGowan VA, Wang J, Paterson KB.","Atten Percept Psychophys. 2019 Nov;81(8):2626-2634. doi: 10.3758/s13414-019-01836-y.","Li L","Atten Percept Psychophys","2019","2019/08/15","PMC6856292","","10.3758/s13414-019-01836-y"
"30225553","Improving the performance of eye trackers with limited spatial accuracy and low sampling rates for reading analysis by heuristic fixation-to-word mapping","Špakov O, Istance H, Hyrskykari A, Siirtola H, Räihä KJ.","Behav Res Methods. 2019 Dec;51(6):2661-2687. doi: 10.3758/s13428-018-1120-x.","Špakov O","Behav Res Methods","2019","2018/09/19","","","10.3758/s13428-018-1120-x"
"24813563","An eye movement based reading intervention in lexical and segmental readers with acquired dyslexia","Ablinger I, von Heyden K, Vorstius C, Halm K, Huber W, Radach R.","Neuropsychol Rehabil. 2014;24(6):833-67. doi: 10.1080/09602011.2014.913530. Epub 2014 May 9.","Ablinger I","Neuropsychol Rehabil","2014","2014/05/13","","","10.1080/09602011.2014.913530"
"25034443","Emotion effects during reading: Influence of an emotion target word on eye movements and processing","Knickerbocker H, Johnson RL, Altarriba J.","Cogn Emot. 2015;29(5):784-806. doi: 10.1080/02699931.2014.938023. Epub 2014 Jul 18.","Knickerbocker H","Cogn Emot","2015","2014/07/19","","","10.1080/02699931.2014.938023"
"20225005","Word length and word frequency affect eye movements in dyslexic children reading in a regular (German) orthography","Dürrwächter U, Sokolov AN, Reinhard J, Klosinski G, Trauzettel-Klosinski S.","Ann Dyslexia. 2010 Jun;60(1):86-101. doi: 10.1007/s11881-010-0034-9. Epub 2010 Mar 12.","Dürrwächter U","Ann Dyslexia","2010","2010/03/13","","","10.1007/s11881-010-0034-9"
"29648870","The role of preview validity in predictability and frequency effects on eye movements in reading","Staub A, Goddard K.","J Exp Psychol Learn Mem Cogn. 2019 Jan;45(1):110-127. doi: 10.1037/xlm0000561. Epub 2018 Apr 12.","Staub A","J Exp Psychol Learn Mem Cogn","2019","2018/04/13","","","10.1037/xlm0000561"
"23458551","Mind wandering in sentence reading: decoupling the link between mind and eye","Foulsham T, Farley J, Kingstone A.","Can J Exp Psychol. 2013 Mar;67(1):51-59. doi: 10.1037/a0030217.","Foulsham T","Can J Exp Psychol","2013","2013/03/06","","","10.1037/a0030217"
"23972214","Lexical quality and eye movements: individual differences in the perceptual span of skilled adult readers","Veldre A, Andrews S.","Q J Exp Psychol (Hove). 2014;67(4):703-27. doi: 10.1080/17470218.2013.826258. Epub 2013 Aug 25.","Veldre A","Q J Exp Psychol (Hove)","2014","2013/08/27","","","10.1080/17470218.2013.826258"
"22421034","[Binocular movements during pursuit and reading: eye tracking study]","Boussand F.","J Fr Ophtalmol. 2012 Sep;35(7):477-90. doi: 10.1016/j.jfo.2011.10.003. Epub 2012 Mar 14.","Boussand F","J Fr Ophtalmol","2012","2012/03/17","","","10.1016/j.jfo.2011.10.003"
"28593606","Gazepath: An eye-tracking analysis tool that accounts for individual differences and data quality","van Renswoude DR, Raijmakers MEJ, Koornneef A, Johnson SP, Hunnius S, Visser I.","Behav Res Methods. 2018 Apr;50(2):834-852. doi: 10.3758/s13428-017-0909-3.","van Renswoude DR","Behav Res Methods","2018","2017/06/09","PMC5880860","","10.3758/s13428-017-0909-3"
